No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|1er lot|Nombre de lots|Code type local|Type local|Surface reelle bati|Nombre pieces principales|year
1|31/01/2022|Vente|400000,00|14.0|IMP|0475|DU MAYNE|33470.0|GUJAN MESTRAS|33|199||BX|66||0|1.0|Maison|81.0|4.0|2022
1|31/01/2022|Vente|400000,00|14.0|IMP|0475|DU MAYNE|33470.0|GUJAN MESTRAS|33|199||BX|66||0|3.0|Dépendance|0.0|0.0|2022
1|31/01/2022|Vente|810000,00|32.0|ALL|0168|CLEMENT MAROT|33470.0|GUJAN MESTRAS|33|199||DK|320||0|1.0|Maison|184.0|6.0|2022
1|31/01/2022|Vente|810000,00|32.0|ALL|0168|CLEMENT MAROT|33470.0|GUJAN MESTRAS|33|199||DK|320||0|3.0|Dépendance|0.0|0.0|2022
1|07/01/2022|Vente|295000,00||ALL|0451|DU LAVOIR|33470.0|GUJAN MESTRAS|33|199||BZ|300||0|||||2022
1|07/01/2022|Vente|295000,00|1.0|ALL|0451|DU LAVOIR|33470.0|GUJAN MESTRAS|33|199||BZ|301||0|1.0|Maison|78.0|3.0|2022
1|21/01/2022|Vente|454000,00|32.0|ALL|0075|DU BOSQUET DES CIGALES|33470.0|GUJAN MESTRAS|33|199||DK|380||0|1.0|Maison|98.0|4.0|2022
1|24/01/2022|Vente|168298,00|9001.0|ALL|0785|RAPHAEL|33470.0|GUJAN MESTRAS|33|199||CS|297|144.0|1|2.0|Appartement|41.0|2.0|2022
1|24/01/2022|Vente|168298,00|9001.0|ALL|0785|RAPHAEL|33470.0|GUJAN MESTRAS|33|199||CS|297|360.0|1|3.0|Dépendance|0.0|0.0|2022
1|24/01/2022|Vente|168298,00|9001.0|ALL|0785|RAPHAEL|33470.0|GUJAN MESTRAS|33|199||CS|297|120.0|1|3.0|Dépendance|0.0|0.0|2022
1|26/01/2022|Vente|1077080,00|75.0|ALL|0135|DE CAZAUX|33470.0|GUJAN MESTRAS|33|199||CI|369||0|3.0|Dépendance|0.0|0.0|2022
1|26/01/2022|Vente|1077080,00|75.0|ALL|0135|DE CAZAUX|33470.0|GUJAN MESTRAS|33|199||CI|369||0|3.0|Dépendance|0.0|0.0|2022
1|26/01/2022|Vente|1077080,00|75.0|ALL|0135|DE CAZAUX|33470.0|GUJAN MESTRAS|33|199||CI|369||0|3.0|Dépendance|0.0|0.0|2022
1|26/01/2022|Vente|1077080,00|75.0|ALL|0135|DE CAZAUX|33470.0|GUJAN MESTRAS|33|199||CI|369||0|1.0|Maison|319.0|7.0|2022
1|26/01/2022|Vente|1077080,00|75.0|ALL|0135|DE CAZAUX|33470.0|GUJAN MESTRAS|33|199||CI|369||0|3.0|Dépendance|0.0|0.0|2022
1|26/01/2022|Vente|1077080,00|75.0|ALL|0135|DE CAZAUX|33470.0|GUJAN MESTRAS|33|199||CI|369||0|3.0|Dépendance|0.0|0.0|2022
1|26/01/2022|Vente|1077080,00|75.0|ALL|0135|DE CAZAUX|33470.0|GUJAN MESTRAS|33|199||CI|369||0|3.0|Dépendance|0.0|0.0|2022
1|26/01/2022|Vente|1077080,00|75.0|ALL|0135|DE CAZAUX|33470.0|GUJAN MESTRAS|33|199||CI|369||0|1.0|Maison|319.0|7.0|2022
1|26/01/2022|Vente|1077080,00|75.0|ALL|0135|DE CAZAUX|33470.0|GUJAN MESTRAS|33|199||CI|370||0|||||2022
1|26/01/2022|Vente|1077080,00|75.0|ALL|0135|DE CAZAUX|33470.0|GUJAN MESTRAS|33|199||CI|370||0|||||2022
2|17/01/2022|Vente|304000,00|173.0|AV|0512|MAL DE LATTRE DE TASSIGNY|33470.0|GUJAN MESTRAS|33|199||BR|691||0|1.0|Maison|47.0|2.0|2022
2|17/01/2022|Vente|304000,00|173.0|AV|0512|MAL DE LATTRE DE TASSIGNY|33470.0|GUJAN MESTRAS|33|199||BR|691||0|1.0|Maison|22.0|2.0|2022
2|17/01/2022|Vente|304000,00|173.0|AV|0512|MAL DE LATTRE DE TASSIGNY|33470.0|GUJAN MESTRAS|33|199||BR|691||0|1.0|Maison|95.0|4.0|2022
1|12/01/2022|Vente|2290000,00|26.0|RUE|0630|PASTEUR|33470.0|GUJAN MESTRAS|33|199||BM|294||0|2.0|Appartement|136.0|3.0|2022
1|12/01/2022|Vente|2290000,00|26.0|RUE|0630|PASTEUR|33470.0|GUJAN MESTRAS|33|199||BM|294||0|3.0|Dépendance|0.0|0.0|2022
1|12/01/2022|Vente|2290000,00|26.0|RUE|0630|PASTEUR|33470.0|GUJAN MESTRAS|33|199||BM|294||0|2.0|Appartement|136.0|3.0|2022
1|12/01/2022|Vente|2290000,00|26.0|RUE|0630|PASTEUR|33470.0|GUJAN MESTRAS|33|199||BM|294||0|2.0|Appartement|53.0|3.0|2022
1|12/01/2022|Vente|2290000,00|26.0|RUE|0630|PASTEUR|33470.0|GUJAN MESTRAS|33|199||BM|294||0|3.0|Dépendance|0.0|0.0|2022
1|12/01/2022|Vente|2290000,00|26.0|RUE|0630|PASTEUR|33470.0|GUJAN MESTRAS|33|199||BM|294||0|3.0|Dépendance|0.0|0.0|2022
1|12/01/2022|Vente|2290000,00|26.0|RUE|0630|PASTEUR|33470.0|GUJAN MESTRAS|33|199||BM|294||0|3.0|Dépendance|0.0|0.0|2022
1|12/01/2022|Vente|2290000,00|26.0|RUE|0630|PASTEUR|33470.0|GUJAN MESTRAS|33|199||BM|294||0|3.0|Dépendance|0.0|0.0|2022
1|12/01/2022|Vente|2290000,00|26.0|RUE|0630|PASTEUR|33470.0|GUJAN MESTRAS|33|199||BM|294||0|3.0|Dépendance|0.0|0.0|2022
1|12/01/2022|Vente|2290000,00|26.0|RUE|0630|PASTEUR|33470.0|GUJAN MESTRAS|33|199||BM|294||0|2.0|Appartement|53.0|3.0|2022
1|12/01/2022|Vente|2290000,00|28.0|RUE|0630|PASTEUR|33470.0|GUJAN MESTRAS|33|199||BM|936||0|||||2022
1|27/01/2022|Vente|435000,00|59.0|RUE|0570|DE L OR|33470.0|GUJAN MESTRAS|33|199||BZ|201||0|3.0|Dépendance|0.0|0.0|2022
1|27/01/2022|Vente|435000,00|59.0|RUE|0570|DE L OR|33470.0|GUJAN MESTRAS|33|199||BZ|201||0|1.0|Maison|97.0|4.0|2022
1|11/01/2022|Vente|343260,00|7.0|ALL|0833|DES TOURTERELLES|33470.0|GUJAN MESTRAS|33|199||BR|166||0|1.0|Maison|74.0|4.0|2022
1|14/01/2022|Vente|735400,00|2.0|ALL|0039|GILBERT BARRUE|33470.0|GUJAN MESTRAS|33|199||DC|415||0|1.0|Maison|111.0|4.0|2022
1|14/01/2022|Vente|735400,00|2.0|ALL|0039|GILBERT BARRUE|33470.0|GUJAN MESTRAS|33|199||DC|415||0|3.0|Dépendance|0.0|0.0|2022
1|27/01/2022|Vente|360000,00|8.0|ALL|0210|DES DEUX ECLUSES|33470.0|GUJAN MESTRAS|33|199||BV|484||0|3.0|Dépendance|0.0|0.0|2022
1|27/01/2022|Vente|360000,00|8.0|ALL|0210|DES DEUX ECLUSES|33470.0|GUJAN MESTRAS|33|199||BV|484||0|3.0|Dépendance|0.0|0.0|2022
1|27/01/2022|Vente|360000,00|8.0|ALL|0210|DES DEUX ECLUSES|33470.0|GUJAN MESTRAS|33|199||BV|484||0|3.0|Dépendance|0.0|0.0|2022
1|27/01/2022|Vente|360000,00|8.0|ALL|0210|DES DEUX ECLUSES|33470.0|GUJAN MESTRAS|33|199||BV|484||0|1.0|Maison|86.0|4.0|2022
1|27/01/2022|Vente|360000,00|8.0|ALL|0210|DES DEUX ECLUSES|33470.0|GUJAN MESTRAS|33|199||BV|484||0|3.0|Dépendance|0.0|0.0|2022
1|13/01/2022|Vente terrain à bâtir|297500,00||AV|0810|SAINTE MARIE|33470.0|GUJAN MESTRAS|33|199||DC|462||0|||||2022
1|01/02/2022|Vente|530000,00|33.0|ALL|0856|CHARLES GOUNOD|33470.0|GUJAN MESTRAS|33|199||CR|343||0|1.0|Maison|101.0|4.0|2022
1|07/02/2022|Vente|630000,00|45.0|ALL|0705|DES PLACES|33470.0|GUJAN MESTRAS|33|199||BW|519||0|1.0|Maison|130.0|5.0|2022
1|28/01/2022|Vente|867500,00|3.0|ALL|0695|DES PIVOINES|33470.0|GUJAN MESTRAS|33|199||BW|277||0|3.0|Dépendance|0.0|0.0|2022
1|28/01/2022|Vente|867500,00|3.0|ALL|0695|DES PIVOINES|33470.0|GUJAN MESTRAS|33|199||BW|277||0|1.0|Maison|145.0|5.0|2022
1|28/01/2022|Vente|867500,00|3.0|ALL|0695|DES PIVOINES|33470.0|GUJAN MESTRAS|33|199||BW|277||0|3.0|Dépendance|0.0|0.0|2022
1|26/01/2022|Vente|475000,00|17.0|ALL|0397|DES GRIVES|33470.0|GUJAN MESTRAS|33|199||CB|853||0|1.0|Maison|89.0|4.0|2022
1|26/01/2022|Vente|475000,00|17.0|ALL|0397|DES GRIVES|33470.0|GUJAN MESTRAS|33|199||CB|853||0|3.0|Dépendance|0.0|0.0|2022
1|26/01/2022|Vente|475000,00|17.0|ALL|0397|DES GRIVES|33470.0|GUJAN MESTRAS|33|199||CB|853||0|3.0|Dépendance|0.0|0.0|2022
1|12/01/2022|Vente|1300000,00|140.0|CRS|0840|DE VERDUN|33470.0|GUJAN MESTRAS|33|199||BP|129||0|||||2022
1|27/01/2022|Vente|600000,00|||B163|PINS DE LA RUADE|33470.0|GUJAN MESTRAS|33|199||CP|29||0|||||2022
1|20/01/2022|Vente|112560,00|13.0|CHE|0181|DE LA CORDERIE|33470.0|GUJAN MESTRAS|33|199||BM|527||0|3.0|Dépendance|0.0|0.0|2022
1|20/01/2022|Vente|112560,00|13.0|CHE|0181|DE LA CORDERIE|33470.0|GUJAN MESTRAS|33|199||BM|527||0|1.0|Maison|104.0|5.0|2022
1|27/01/2022|Vente|18000,00|2.0|RUE|0110|CAMILLE DIGNAC|33470.0|GUJAN MESTRAS|33|199||CA|380|15.0|1|3.0|Dépendance|0.0|0.0|2022
1|31/01/2022|Vente|225000,00|88.0|BD|0676|PIERRE DIGNAC|33470.0|GUJAN MESTRAS|33|199||BD|117||0|1.0|Maison|40.0|1.0|2022
1|04/02/2022|Vente|370300,00|6.0|RUE|0740|DU PORT|33470.0|GUJAN MESTRAS|33|199||BR|685||0|||||2022
1|01/02/2022|Vente|160000,00|55.0|RUE|0230|DU DOCTEUR DUFFOURG|33470.0|GUJAN MESTRAS|33|199||BM|57|11.0|3|2.0|Appartement|42.0|2.0|2022
1|01/02/2022|Vente|160000,00|55.0|RUE|0230|DU DOCTEUR DUFFOURG|33470.0|GUJAN MESTRAS|33|199||BM|57|11.0|3|3.0|Dépendance|0.0|0.0|2022
1|20/01/2022|Vente|188125,00|46.0|BD|0186|DE LA COTE D ARGENT|33470.0|GUJAN MESTRAS|33|199||BL|232|104.0|3|2.0|Appartement|64.0|3.0|2022
1|20/01/2022|Vente|188125,00|46.0|BD|0186|DE LA COTE D ARGENT|33470.0|GUJAN MESTRAS|33|199||BL|232|104.0|3|3.0|Dépendance|0.0|0.0|2022
1|14/01/2022|Vente|690500,00|4.0|ALL|0240|DU DOMAINE|33470.0|GUJAN MESTRAS|33|199||BV|90||0|3.0|Dépendance|0.0|0.0|2022
1|14/01/2022|Vente|690500,00|4.0|ALL|0240|DU DOMAINE|33470.0|GUJAN MESTRAS|33|199||BV|90||0|2.0|Appartement|74.0|2.0|2022
1|14/01/2022|Vente|690500,00|4.0|ALL|0240|DU DOMAINE|33470.0|GUJAN MESTRAS|33|199||BV|90||0|2.0|Appartement|74.0|4.0|2022
1|13/01/2022|Vente|172000,00|11.0|AV|0250|DE L EGLISE|33470.0|GUJAN MESTRAS|33|199||BO|241|21.0|3|3.0|Dépendance|0.0|0.0|2022
1|13/01/2022|Vente|172000,00|11.0|AV|0250|DE L EGLISE|33470.0|GUJAN MESTRAS|33|199||BO|241|21.0|3|2.0|Appartement|52.0|2.0|2022
